id,MLM,HLM
TEST_000,45.08019,35.58042000000001
TEST_001,63.55888,58.33271000000001
TEST_002,15.839909999999996,72.00471999999998
TEST_003,33.79491000000002,63.84598999999997
TEST_004,30.12876000000002,72.68123000000004
TEST_005,44.099840000000015,78.28921999999994
TEST_006,64.09165,62.68392
TEST_007,28.821979999999993,67.15693999999998
TEST_008,21.138580000000005,29.45961000000001
TEST_009,39.18516999999999,26.417559999999984
TEST_010,25.114090000000004,50.533889999999985
TEST_011,46.76165000000002,61.68580000000001
TEST_012,50.0317,61.76951999999996
TEST_013,33.21739,49.79904
TEST_014,28.214340000000004,45.93258
TEST_015,69.79500000000002,61.45186666666663
TEST_016,21.45690000000002,50.374759999999995
TEST_017,41.91206999999999,82.22660999999991
TEST_018,69.03723999999997,76.77518999999995
TEST_019,64.30301999999999,58.53792000000001
TEST_020,28.536579999999994,63.17015999999995
TEST_021,19.126390000000004,25.578700000000005
TEST_022,24.29447,48.855509999999974
TEST_023,50.36595999999998,39.89950999999999
TEST_024,9.984740000000004,41.75003000000001
TEST_025,43.58855,47.561830000000015
TEST_026,38.26316000000003,75.54821999999996
TEST_027,58.72607999999995,64.65457999999998
TEST_028,27.896380000000004,49.726990000000015
TEST_029,17.2664,59.09950999999998
TEST_030,64.36586,65.31195999999996
TEST_031,18.48137999999999,40.23476
TEST_032,17.07535000000001,30.277149999999974
TEST_033,24.42728,65.37373999999994
TEST_034,24.786640000000006,40.44362000000003
TEST_035,17.605139999999995,34.959689999999995
TEST_036,14.95648,51.351240000000004
TEST_037,60.245540000000034,58.243650000000024
TEST_038,34.65714999999997,68.41617
TEST_039,14.37133,35.416128000000015
TEST_040,24.558280000000003,44.37216
TEST_041,24.210710000000017,42.627469999999974
TEST_042,22.29547000000002,16.17333
TEST_043,17.346130000000002,51.22418
TEST_044,26.673349999999996,62.99471999999998
TEST_045,68.70718499999997,72.59183999999999
TEST_046,36.38593000000004,38.94471999999999
TEST_047,18.395706000000004,48.88656999999996
TEST_048,82.66625999999995,58.452599999999975
TEST_049,42.412780000000005,71.22921999999996
TEST_050,47.53236999999997,77.96345999999993
TEST_051,35.731930000000006,48.77291999999999
TEST_052,41.817250000000016,55.536499999999975
TEST_053,24.392239999999997,47.12316
TEST_054,40.33513000000001,46.71422999999996
TEST_055,45.98793999999998,65.30600000000001
TEST_056,37.45019000000001,58.94512000000003
TEST_057,20.304690000000004,61.5336
TEST_058,33.08219999999999,51.20346999999998
TEST_059,52.03710999999998,55.96328
TEST_060,66.15390999999998,57.22466999999996
